Batter,RUNS,Balls,SR,Vs,4s,6s
Brendon McCullum,158,73,216.44,Royal Challengers Bengaluru,10,13
Andrew Symonds,117,53,220.75,Rajasthan Royals,11,7
Michael Hussey,116,54,214.81,Punjab Kings,8,9
Shaun Marsh,115,69,166.67,Rajasthan Royals,11,7
Sanath Jayasuriya,114,48,237.50,Chennai Super Kings,9,11
Adam Gilchrist,109,47,231.91,Mumbai Indians,9,10
Virender Sehwag,94,41,229.27,Deccan Chargers,10,6
Kumar Sangakkara,94,56,167.86,Mumbai Indians,13,1
Graeme Smith,91,51,178.43,Chennai Super Kings,9,4
Sourav Ganguly,91,57,159.65,Deccan Chargers,11,5
Sourav Ganguly,86,53,162.26,Punjab Kings,6,6
Gautam Gambhir,86,54,159.26,Royal Challengers Bengaluru,11,1
Shaun Marsh,84,62,135.48,Deccan Chargers,11,1
Matthew Hayden,81,46,176.09,Mumbai Indians,12,2
Shaun Marsh,81,56,144.64,Mumbai Indians,7,4
