PLAYER,MATCHES,INNS,RUNS,AVG,SR,4s,6s
Shaun Marsh,11,11,616,68.44,139.68,59,26
Gautam Gambhir,14,14,534,41.08,140.90,68,8
Sanath Jayasuriya,14,14,514,42.83,166.34,57,31
Shane Watson,15,15,472,47.20,151.77,47,19
Graeme Smith,11,11,441,49.00,121.82,54,8
Adam Gilchrist,14,14,436,33.54,137.11,51,19
Yusuf Pathan,16,15,435,31.07,179.01,43,25
Suresh Raina,16,14,421,38.27,142.71,35,18
MS Dhoni,16,14,414,41.40,133.55,38,15
Virender Sehwag,14,14,406,33.83,184.55,46,21
Rohit Sharma,13,12,404,36.73,147.99,38,19
Rahul Dravid,14,14,371,28.54,124.50,35,11
Sourav Ganguly,13,13,349,29.08,113.68,33,15
Shikhar Dhawan,14,14,340,37.78,115.25,35,8
Robin Uthappa,14,14,320,35.56,114.70,34,9
