Batter,MATCHES,INNS,RUNS,Avg,NO
Luke Pomersbach,5,5,152,152.00,4
Simon Katich,2,2,96,96.00,1
Michael Hussey,4,3,168,84.00,1
Andrew Symonds,4,3,161,80.50,1
Shaun Marsh,11,11,616,68.44,2
Matthew Hayden,4,4,189,63.00,1
Brendon McCullum,4,4,188,62.67,1
Niraj Patel,5,4,103,51.50,2
Graeme Smith,11,11,441,49.00,2
Shane Watson,15,15,472,47.20,5
Sanath Jayasuriya,14,14,514,42.83,2
MS Dhoni,16,14,414,41.40,4
Gautam Gambhir,14,14,534,41.08,1
Suresh Raina,16,14,421,38.27,3
Shikhar Dhawan,14,14,340,37.78,5
