Batter,MATCHES,INNS,RUNS,90s,50s,H.S
Shaun Marsh,11,11,616,0,5,115
Gautam Gambhir,14,14,534,0,5,86
Shane Watson,15,15,472,0,4,76
Yusuf Pathan,16,15,435,0,4,68
Rohit Sharma,13,12,404,0,4,76
Shikhar Dhawan,14,14,340,0,4,68
Kumar Sangakkara,10,9,320,1,4,94
Graeme Smith,11,11,441,1,3,91
Adam Gilchrist,14,14,436,0,3,109
Suresh Raina,16,14,421,0,3,55
Virender Sehwag,14,14,406,1,3,94
Sourav Ganguly,13,13,349,1,3,91
Sanath Jayasuriya,14,14,514,0,2,114
MS Dhoni,16,14,414,0,2,65
Rahul Dravid,14,14,371,0,2,75
