Batter,MATCHES,INNS,RUNS,4s
Gautam Gambhir,14,14,534,68
Shaun Marsh,11,11,616,59
Sanath Jayasuriya,14,14,514,57
Graeme Smith,11,11,441,54
Adam Gilchrist,14,14,436,51
Shane Watson,15,15,472,47
Virender Sehwag,14,14,406,46
Yusuf Pathan,16,15,435,43
Swapnil Asnodkar,9,9,311,43
Parthiv Patel,13,13,302,42
Kumar Sangakkara,10,9,320,41
MS Dhoni,16,14,414,38
Rohit Sharma,13,12,404,38
Suresh Raina,16,14,421,35
Rahul Dravid,14,14,371,35
