Batter,MATCHES,INNS,RUNS,6s
Sanath Jayasuriya,14,14,514,31
Shaun Marsh,11,11,616,26
Yusuf Pathan,16,15,435,25
Virender Sehwag,14,14,406,21
Shane Watson,15,15,472,19
Adam Gilchrist,14,14,436,19
Rohit Sharma,13,12,404,19
Yuvraj Singh,15,14,299,19
Suresh Raina,16,14,421,18
David Hussey,13,13,319,17
MS Dhoni,16,14,414,15
Sourav Ganguly,13,13,349,15
Venugopal Rao,11,10,288,15
Brendon McCullum,4,4,188,15
Albie Morkel,13,10,241,14
