Batter,MATCHES,INNS,RUNS,H.S,100s
Shaun Marsh,11,11,616,115,1
Sanath Jayasuriya,14,14,514,114,1
Adam Gilchrist,14,14,436,109,1
Brendon McCullum,4,4,188,158,1
Michael Hussey,4,3,168,116,1
Andrew Symonds,4,3,161,117,1
