Batter,MATCHES,INNS,RUNS,Avg,SR
Brendon McCullum,4,4,188,62.67,204.35
Virender Sehwag,14,14,406,33.83,184.55
Ross Taylor,4,4,149,37.25,183.95
Yusuf Pathan,16,15,435,31.07,179.01
Shahid Afridi,10,9,81,10.12,176.09
Michael Hussey,4,3,168,84.00,168.00
Sanath Jayasuriya,14,14,514,42.83,166.34
Kamran Akmal,6,6,128,25.60,164.10
Yuvraj Singh,15,14,299,23.00,162.50
Kumar Sangakkara,10,9,320,35.56,161.62
Farveez Maharoof,10,8,125,20.83,158.23
Luke Pomersbach,5,5,152,152.00,153.54
Andrew Symonds,4,3,161,80.50,153.33
Piyush Chawla,15,7,90,22.50,152.54
Shane Watson,15,15,472,47.20,151.77
