PLAYER,MATCHES,OVERS,BALLS,WKTS,Avg,RUNS,4-FERS,5-FERS
Harshal Patel,14,49.0,294,24,19.88,477,0,0
Varun Chakaravarthy,14,50.0,300,21,19.14,402,0,0
Jasprit Bumrah,13,51.5,311,20,16.80,336,0,1
T Natarajan,14,51.2,308,19,24.47,465,1,0
Harshit Rana,12,42.1,253,19,20.16,383,0,0
Avesh Khan,15,54.5,329,19,27.68,526,0,0
Arshdeep Singh,14,50.2,302,19,26.58,505,1,0
Andre Russell,14,29.2,176,19,15.53,295,0,0
Pat Cummins,16,61.0,366,18,31.44,566,0,0
Yuzvendra Chahal,15,58.0,348,18,30.33,546,0,0
Sunil Narine,14,55.0,330,17,21.65,368,0,0
Tushar Deshpande,13,48.0,288,17,24.94,424,1,0
Khaleel Ahmed,14,50.0,300,17,28.18,479,0,0
Mukesh Kumar,10,35.3,213,17,21.65,368,0,0
Mitchell Starc,13,41.5,251,17,26.12,444,1,0
