Bowler,MATCHES,Overs,RUNS,WKTS,4-FERS,5-FERS
Jasprit Bumrah,13,51.5,336,20,0,1
Sandeep Sharma,10,38.0,311,13,0,1
Yash Thakur,10,35.3,402,11,0,1
