Bowler,Vs,OVS,RUNS,WKTS,BBI,MAIDENS,ECON
Sandeep Sharma,Mumbai Indians,4.0,18,5,5-18,0,4.50
Jasprit Bumrah,Royal Challengers Bengaluru,4.0,21,5,5-21,0,5.25
Yash Thakur,Gujarat Titans,3.5,30,5,5-30,1,8.57
T Natarajan,Delhi Capitals,4.0,19,4,4-19,1,4.75
Tushar Deshpande,Sunrisers Hyderabad,3.0,27,4,4-27,0,9.00
Matheesha Pathirana,Mumbai Indians,4.0,28,4,4-28,0,7.00
Arshdeep Singh,Sunrisers Hyderabad,4.0,29,4,4-29,0,7.25
Mustafizur Rahman,Royal Challengers Bengaluru,4.0,29,4,4-29,0,7.25
Mitchell Starc,Mumbai Indians,3.5,33,4,4-33,0,9.43
Ravisrinivasan Sai Kishore,Punjab Kings,4.0,33,4,4-33,0,8.25
Gerald Coetzee,Delhi Capitals,4.0,34,4,4-34,0,8.50
Joshua Little,Royal Challengers Bengaluru,4.0,45,4,4-45,0,11.25
Kuldeep Yadav,Sunrisers Hyderabad,4.0,55,4,4-55,0,13.75
Yuzvendra Chahal,Mumbai Indians,4.0,11,3,3-11,0,2.75
Krunal Pandya,Gujarat Titans,4.0,11,3,3-11,0,2.75
