Bowler,MATCHES,OVERS,WKTS,Avg
Karanveer Singh,5,20.0,11,14.91
Lasith Malinga,10,39.1,16,15.81
Bhuvneshwar Kumar,14,53.1,20,17.70
Ashish Nehra,4,15.0,8,17.75
Varun Aaron,10,36.4,16,18.69
Shreyas Gopal,4,14.0,6,18.83
Imran Tahir,6,20.5,9,19.00
Sunil Narine,16,64.0,21,19.38
Mohit Sharma,16,53.5,23,19.65
Sandeep Sharma,11,40.1,18,19.67
Piyush Chawla,11,39.3,14,21.64
Kane Richardson,7,27.0,9,22.89
Ravindra Jadeja,16,54.2,19,23.32
Shane Watson,13,21.0,7,23.57
Rajat Bhatia,12,38.0,12,23.58
