PLAYER,MATCHES,OVERS,BALLS,WKTS,Avg,RUNS,4-FERS,5-FERS
Mohit Sharma,16,53.5,323,23,19.65,452,1,0
Sunil Narine,16,64.0,384,21,19.38,407,2,0
Bhuvneshwar Kumar,14,53.1,319,20,17.70,354,1,0
Ravindra Jadeja,16,54.2,326,19,23.32,443,2,0
Sandeep Sharma,11,40.1,241,18,19.67,354,0,0
Axar Patel,17,66.0,396,17,23.82,405,0,0
Mitchell Johnson,14,53.3,321,17,26.12,444,0,0
Lasith Malinga,10,39.1,235,16,15.81,253,1,0
Ravichandran Ashwin,16,59.5,359,16,27.31,437,0,0
Varun Aaron,10,36.4,220,16,18.69,299,0,0
Pravin Tambe,13,49.0,294,15,23.73,356,1,0
Karn Sharma,14,50.4,304,15,25.07,376,1,0
Harbhajan Singh,14,55.0,330,14,25.43,356,0,0
Mitchell Starc,14,53.4,322,14,28.71,402,0,0
Piyush Chawla,11,39.3,237,14,21.64,303,0,0
