Bowler,MATCHES,OVERS,INNS,WKTS,Eco,Avg,SR
Axar Patel,17,66.0,17,17,6.14,23.82,23.29
Sunil Narine,16,64.0,16,21,6.36,19.38,18.29
Lasith Malinga,10,39.1,10,16,6.46,15.81,14.69
Harbhajan Singh,14,55.0,14,14,6.47,25.43,23.57
Bhuvneshwar Kumar,14,53.1,14,20,6.66,17.70,15.95
Shakib Al Hasan,13,50.0,13,11,6.68,30.36,27.27
Yuzvendra Chahal,14,55.0,14,12,7.02,32.17,27.50
Pravin Tambe,13,49.0,13,15,7.27,23.73,19.60
Ravichandran Ashwin,16,59.5,16,16,7.30,27.31,22.44
Wayne Parnell,8,30.1,8,6,7.39,37.17,30.17
Karn Sharma,14,50.4,14,15,7.42,25.07,20.27
Rajat Bhatia,12,38.0,12,12,7.45,23.58,19.00
Mitchell Starc,14,53.4,14,14,7.49,28.71,23.00
Ishwar Pandey,13,42.0,12,6,7.57,53.00,42.00
Kane Richardson,7,27.0,7,9,7.63,22.89,18.00
