Bowler,Vs,OVS,RUNS,WKTS,BBI,MAIDENS,ECON
Ravindra Jadeja,Kolkata Knight Riders,4.0,12,4,4-12,0,3.00
Lakshmipathy Balaji,Sunrisers Hyderabad,4.0,13,4,4-13,0,3.25
Bhuvneshwar Kumar,Rajasthan Royals,4.0,14,4,4-14,0,3.50
Mohit Sharma,Mumbai Indians,4.0,14,4,4-14,0,3.50
Pravin Tambe,Royal Challengers Bengaluru,4.0,20,4,4-20,0,5.00
Sunil Narine,Royal Challengers Bengaluru,4.0,20,4,4-20,0,5.00
Sunil Narine,Mumbai Indians,4.0,20,4,4-20,0,5.00
Lasith Malinga,Kolkata Knight Riders,4.0,23,4,4-23,0,5.75
Ravindra Jadeja,Rajasthan Royals,4.0,33,4,4-33,0,8.25
Yuvraj Singh,Rajasthan Royals,4.0,35,4,4-35,0,8.75
Karn Sharma,Kolkata Knight Riders,4.0,38,4,4-38,0,9.50
Karanveer Singh,Kolkata Knight Riders,4.0,54,4,4-54,0,13.50
James Faulkner,Kolkata Knight Riders,2.0,11,3,3-11,0,5.50
Umesh Yadav,Punjab Kings,4.0,13,3,3-13,0,3.25
Shane Watson,Sunrisers Hyderabad,2.0,13,3,3-13,0,6.50
