Bowler,MATCHES,OVERS,WKTS,SR
Karanveer Singh,5,20.0,11,10.91
Ashish Nehra,4,15.0,8,11.25
Sandeep Sharma,11,40.1,18,13.39
Varun Aaron,10,36.4,16,13.75
Imran Tahir,6,20.5,9,13.89
Shreyas Gopal,4,14.0,6,14.00
Mohit Sharma,16,53.5,23,14.04
Lasith Malinga,10,39.1,16,14.69
Bhuvneshwar Kumar,14,53.1,20,15.95
Piyush Chawla,11,39.3,14,16.93
Lakshmipathy Balaji,9,34.0,12,17.00
Ravindra Jadeja,16,54.2,19,17.16
Kane Richardson,7,27.0,9,18.00
Shane Watson,13,21.0,7,18.00
Sunil Narine,16,64.0,21,18.29
