Batter,MATCHES,INNS,RUNS,Avg,SR
Kieron Pollard,16,12,268,53.60,191.43
Jofra Archer,14,10,113,18.83,179.37
Hardik Pandya,14,13,281,35.12,178.98
Ravindra Jadeja,14,11,232,46.40,171.85
Abdul Samad,12,8,111,22.20,170.77
Nicholas Pooran,14,14,353,35.30,169.71
Sanju Samson,14,14,375,28.85,158.90
AB de Villiers,15,14,454,45.40,158.74
Mayank Agarwal,11,11,424,38.55,156.46
Marcus Stoinis,17,17,352,25.14,148.52
Shimron Hetmyer,12,11,185,23.12,148.00
Ishan Kishan,14,13,516,57.33,145.76
Suryakumar Yadav,16,15,480,40.00,145.02
Shikhar Dhawan,17,17,618,44.14,144.73
Jos Buttler,13,12,328,32.80,144.49
