Batter,MATCHES,INNS,RUNS,90s,50s,H.S
KL Rahul,14,14,670,0,5,132
Devdutt Padikkal,15,15,473,0,5,74
AB de Villiers,15,14,454,0,5,73
Shikhar Dhawan,17,17,618,0,4,106
David Warner,16,16,548,0,4,85
Ishan Kishan,14,13,516,1,4,99
Quinton de Kock,16,16,503,0,4,78
Suryakumar Yadav,16,15,480,0,4,79
Faf du Plessis,13,13,449,0,4,87
Shreyas Iyer,17,17,519,0,3,88
Virat Kohli,15,15,466,1,3,90
Shubman Gill,14,14,440,0,3,70
Manish Pandey,16,15,425,0,3,83
Sanju Samson,14,14,375,0,3,85
Marcus Stoinis,17,17,352,0,3,65
