Batter,MATCHES,INNS,RUNS,Avg,NO
Deepak Hooda,7,5,101,101.00,4
Tom Curran,5,4,83,83.00,3
Wriddhiman Saha,4,4,214,71.33,1
Ishan Kishan,14,13,516,57.33,4
KL Rahul,14,14,670,55.83,2
Kieron Pollard,16,12,268,53.60,7
Ruturaj Gaikwad,6,6,204,51.00,2
Ravindra Jadeja,14,11,232,46.40,6
AB de Villiers,15,14,454,45.40,4
Kane Williamson,12,11,317,45.29,4
Shikhar Dhawan,17,17,618,44.14,3
Rahul Tewatia,14,11,255,42.50,5
Virat Kohli,15,15,466,42.36,4
Eoin Morgan,14,14,418,41.80,4
Chris Gayle,7,7,288,41.14,0
