Batter,RUNS,Balls,SR,Vs,4s,6s
KL Rahul,132,69,191.30,Royal Challengers Bengaluru,14,7
Ben Stokes,107,60,178.33,Mumbai Indians,14,3
Mayank Agarwal,106,50,212.00,Rajasthan Royals,10,7
Shikhar Dhawan,106,61,173.77,Punjab Kings,12,3
Shikhar Dhawan,101,58,174.14,Chennai Super Kings,14,1
Ishan Kishan,99,58,170.69,Royal Challengers Bengaluru,2,9
Chris Gayle,99,63,157.14,Rajasthan Royals,6,8
Jonny Bairstow,97,55,176.36,Punjab Kings,7,6
Virat Kohli,90,52,173.08,Chennai Super Kings,4,4
Mayank Agarwal,89,60,148.33,Delhi Capitals,7,4
Shreyas Iyer,88,38,231.58,Kolkata Knight Riders,7,6
Wriddhiman Saha,87,45,193.33,Delhi Capitals,12,2
Faf du Plessis,87,53,164.15,Punjab Kings,11,1
Nitish Rana,87,61,142.62,Chennai Super Kings,10,4
Sanju Samson,85,42,202.38,Punjab Kings,4,7
