Batter,MATCHES,INNS,RUNS,H.S,100s
Shikhar Dhawan,17,17,618,106,2
KL Rahul,14,14,670,132,1
Mayank Agarwal,11,11,424,106,1
Ben Stokes,8,8,285,107,1
