Batter,MATCHES,INNS,RUNS,4s
Shikhar Dhawan,17,17,618,67
Suryakumar Yadav,16,15,480,61
KL Rahul,14,14,670,58
David Warner,16,16,548,52
Devdutt Padikkal,15,15,473,51
Quinton de Kock,16,16,503,46
Shubman Gill,14,14,440,44
Mayank Agarwal,11,11,424,44
Nitish Rana,14,14,352,43
Faf du Plessis,13,13,449,42
Shreyas Iyer,17,17,519,40
Ishan Kishan,14,13,516,36
Ben Stokes,8,8,285,36
Manish Pandey,16,15,425,35
AB de Villiers,15,14,454,33
