PLAYER,MATCHES,INNS,RUNS,AVG,SR,4s,6s
KL Rahul,14,14,670,55.83,129.34,58,23
Shikhar Dhawan,17,17,618,44.14,144.73,67,12
David Warner,16,16,548,39.14,134.64,52,14
Shreyas Iyer,17,17,519,34.60,123.28,40,16
Ishan Kishan,14,13,516,57.33,145.76,36,30
Quinton de Kock,16,16,503,35.93,140.50,46,22
Suryakumar Yadav,16,15,480,40.00,145.02,61,11
Devdutt Padikkal,15,15,473,31.53,124.80,51,8
Virat Kohli,15,15,466,42.36,121.35,23,11
AB de Villiers,15,14,454,45.40,158.74,33,23
Faf du Plessis,13,13,449,40.82,140.75,42,14
Shubman Gill,14,14,440,33.85,117.96,44,9
Manish Pandey,16,15,425,32.69,127.63,35,18
Mayank Agarwal,11,11,424,38.55,156.46,44,15
Eoin Morgan,14,14,418,41.80,138.41,32,24
