Batter,MATCHES,INNS,RUNS,6s
Ishan Kishan,14,13,516,30
Sanju Samson,14,14,375,26
Nicholas Pooran,14,14,353,25
Hardik Pandya,14,13,281,25
Eoin Morgan,14,14,418,24
KL Rahul,14,14,670,23
AB de Villiers,15,14,454,23
Chris Gayle,7,7,288,23
Quinton de Kock,16,16,503,22
Kieron Pollard,16,12,268,22
Rohit Sharma,12,12,332,19
Manish Pandey,16,15,425,18
Rahul Tewatia,14,11,255,17
Shreyas Iyer,17,17,519,16
Marcus Stoinis,17,17,352,16
