Bowler,MATCHES,Overs,RUNS,WKTS,4-FERS,5-FERS
Bhuvneshwar Kumar,14,52.2,369,26,0,1
Jaydev Unadkat,12,45.5,322,24,0,1
Andrew Tye,6,21.0,141,12,0,1
