Bowler,MATCHES,OVERS,INNS,WKTS,Eco,Avg,SR
Pawan Negi,12,32.1,12,16,6.12,12.31,12.06
Washington Sundar,11,30.0,10,8,6.17,23.13,22.50
Harbhajan Singh,11,41.0,11,8,6.49,33.25,30.75
Glenn Maxwell,14,19.0,8,7,6.58,17.86,16.29
Rashid Khan,14,54.0,14,17,6.63,21.06,19.06
Shahbaz Nadeem,7,17.5,7,6,6.67,19.83,17.83
Andrew Tye,6,21.0,6,12,6.71,11.75,10.50
Krunal Pandya,13,40.0,13,10,6.83,27.30,24.00
Karn Sharma,9,30.4,9,13,6.98,16.46,14.15
Sunil Narine,16,59.0,15,10,6.98,41.20,35.40
Jaydev Unadkat,12,45.5,12,24,7.03,13.42,11.46
Bhuvneshwar Kumar,14,52.2,14,26,7.05,14.19,12.08
Mitchell Johnson,5,20.0,5,7,7.05,20.14,17.14
Ben Stokes,12,44.0,12,12,7.18,26.33,22.00
Jasprit Bumrah,16,59.2,16,20,7.43,22.05,17.80
