Bowler,MATCHES,OVERS,WKTS,SR
Andrew Tye,6,21.0,12,10.50
Nathan Coulter-Nile,8,28.2,15,11.33
Jaydev Unadkat,12,45.5,24,11.46
Pawan Negi,12,32.1,16,12.06
Bhuvneshwar Kumar,14,52.2,26,12.08
Siddarth Kaul,10,35.4,16,13.38
Mohammed Siraj,6,23.0,10,13.80
Karn Sharma,9,30.4,13,14.15
Chris Morris,9,31.0,12,15.50
Chris Woakes,13,44.0,17,15.53
Imran Tahir,12,47.0,18,15.67
Ashish Nehra,6,21.1,8,15.88
Glenn Maxwell,14,19.0,7,16.29
Praveen Kumar,6,16.3,6,16.50
Samuel Badree,7,25.0,9,16.67
