Bowler,Vs,OVS,RUNS,WKTS,BBI,MAIDENS,ECON
Andrew Tye,Rising Pune Supergiant,4.0,17,5,5-17,0,4.25
Bhuvneshwar Kumar,Punjab Kings,4.0,19,5,5-19,0,4.75
Jaydev Unadkat,Sunrisers Hyderabad,4.0,30,5,5-30,1,7.50
Samuel Badree,Mumbai Indians,4.0,9,4,4-9,1,2.25
Karn Sharma,Kolkata Knight Riders,4.0,16,4,4-16,0,4.00
Sandeep Sharma,Delhi Capitals,4.0,20,4,4-20,0,5.00
Chris Morris,Sunrisers Hyderabad,4.0,26,4,4-26,0,6.50
Siddarth Kaul,Rising Pune Supergiant,4.0,29,4,4-29,0,7.25
Mohammed Siraj,Gujarat Lions,4.0,32,4,4-32,0,8.00
Umesh Yadav,Punjab Kings,4.0,33,4,4-33,0,8.25
Colin de Grandhomme,Royal Challengers Bengaluru,1.4,4,3,3-4,0,2.86
Chris Woakes,Royal Challengers Bengaluru,2.0,6,3,3-6,0,3.00
Jasprit Bumrah,Kolkata Knight Riders,3.0,7,3,3-7,1,2.33
Pawan Negi,Delhi Capitals,2.0,10,3,3-10,0,5.00
Axar Patel,Royal Challengers Bengaluru,3.0,11,3,3-11,0,3.67
