Bowler,MATCHES,OVERS,WKTS,Avg
Andrew Tye,6,21.0,12,11.75
Pawan Negi,12,32.1,16,12.31
Jaydev Unadkat,12,45.5,24,13.42
Bhuvneshwar Kumar,14,52.2,26,14.19
Nathan Coulter-Nile,8,28.2,15,15.20
Karn Sharma,9,30.4,13,16.46
Glenn Maxwell,14,19.0,7,17.86
Siddarth Kaul,10,35.4,16,18.75
Shahbaz Nadeem,7,17.5,6,19.83
Chris Morris,9,31.0,12,20.00
Mitchell Johnson,5,20.0,7,20.14
Imran Tahir,12,47.0,18,20.50
Samuel Badree,7,25.0,9,20.89
Rashid Khan,14,54.0,17,21.06
Mohammed Siraj,6,23.0,10,21.20
