PLAYER,MATCHES,OVERS,BALLS,WKTS,Avg,RUNS,4-FERS,5-FERS
Bhuvneshwar Kumar,14,52.2,314,26,14.19,369,0,1
Jaydev Unadkat,12,45.5,275,24,13.42,322,0,1
Jasprit Bumrah,16,59.2,356,20,22.05,441,0,0
Mitchell McClenaghan,14,54.0,324,19,26.68,507,0,0
Imran Tahir,12,47.0,282,18,20.50,369,0,0
Rashid Khan,14,54.0,324,17,21.06,358,0,0
Sandeep Sharma,13,48.0,288,17,23.41,398,1,0
Umesh Yadav,14,48.3,291,17,24.12,410,1,0
Chris Woakes,13,44.0,264,17,22.71,386,0,0
Pawan Negi,12,32.1,193,16,12.31,197,0,0
Siddarth Kaul,10,35.4,214,16,18.75,300,1,0
Axar Patel,14,48.0,288,15,24.13,362,0,0
Nathan Coulter-Nile,8,28.2,170,15,15.20,228,0,0
Pat Cummins,12,46.1,277,15,24.87,373,0,0
Yuzvendra Chahal,13,43.3,261,14,23.79,333,0,0
