Bowler,MATCHES,OVERS,WKTS,SR
Adam Zampa,5,17.0,12,8.50
Kane Richardson,4,14.0,7,12.00
Kuldeep Yadav,3,12.0,6,12.00
Dwayne Smith,12,18.0,8,13.50
Yuzvendra Chahal,13,49.1,21,14.05
Andre Russell,12,36.3,15,14.60
Chris Jordan,9,28.0,11,15.27
Umesh Yadav,9,26.0,10,15.60
Sreenath Aravind,9,29.1,11,15.91
Dhawal Kulkarni,14,49.0,18,16.33
Ashok Dinda,9,30.3,11,16.64
Shane Watson,16,56.3,20,16.95
Bhuvneshwar Kumar,17,66.0,23,17.22
Marcus Stoinis,7,23.0,8,17.25
Ashish Nehra,8,26.0,9,17.33
