PLAYER,MATCHES,OVERS,BALLS,WKTS,Avg,RUNS,4-FERS,5-FERS
Bhuvneshwar Kumar,17,66.0,396,23,21.30,490,1,0
Yuzvendra Chahal,13,49.1,295,21,19.10,401,1,0
Shane Watson,16,56.3,339,20,24.25,485,1,0
Dhawal Kulkarni,14,49.0,294,18,20.22,364,1,0
Mustafizur Rahman,16,61.0,366,17,24.76,421,0,0
Mitchell McClenaghan,14,53.2,320,17,25.65,436,1,0
Dwayne Bravo,15,56.0,336,17,29.06,494,1,0
Sandeep Sharma,14,50.0,300,15,24.40,366,0,0
Jasprit Bumrah,14,52.0,312,15,27.07,406,0,0
Andre Russell,12,36.3,219,15,19.40,291,1,0
Barinder Sran,14,49.3,297,14,29.50,413,0,0
Chris Morris,12,44.0,264,13,23.69,308,0,0
Amit Mishra,14,46.0,276,13,26.46,344,1,0
Axar Patel,14,47.5,287,13,29.85,388,1,0
Mohit Sharma,14,48.3,291,13,31.31,407,0,0
