Bowler,MATCHES,OVERS,WKTS,Avg
Adam Zampa,5,17.0,12,9.58
Kuldeep Yadav,3,12.0,6,16.67
Yuzvendra Chahal,13,49.1,21,19.10
Dwayne Smith,12,18.0,8,19.13
Andre Russell,12,36.3,15,19.40
Kane Richardson,4,14.0,7,19.43
Sreenath Aravind,9,29.1,11,19.64
Dhawal Kulkarni,14,49.0,18,20.22
Ashok Dinda,9,30.3,11,21.00
Bhuvneshwar Kumar,17,66.0,23,21.30
Ashish Nehra,8,26.0,9,22.11
Umesh Yadav,9,26.0,10,23.40
Chris Jordan,9,28.0,11,23.45
Chris Morris,12,44.0,13,23.69
Shane Watson,16,56.3,20,24.25
