Bowler,Vs,OVS,RUNS,WKTS,BBI,MAIDENS,ECON
Adam Zampa,Sunrisers Hyderabad,4.0,19,6,6-19,0,4.75
Dwayne Smith,Kolkata Knight Riders,4.0,8,4,4-8,0,2.00
Amit Mishra,Punjab Kings,3.0,11,4,4-11,0,3.67
Chris Jordan,Gujarat Lions,3.0,11,4,4-11,0,3.67
Dhawal Kulkarni,Royal Challengers Bengaluru,4.0,14,4,4-14,1,3.50
Marcus Stoinis,Mumbai Indians,4.0,15,4,4-15,0,3.75
Andre Russell,Punjab Kings,4.0,20,4,4-20,0,5.00
Mitchell McClenaghan,Gujarat Lions,4.0,21,4,4-21,0,5.25
Axar Patel,Gujarat Lions,4.0,21,4,4-21,0,5.25
Dwayne Bravo,Punjab Kings,4.0,22,4,4-22,0,5.50
Yuzvendra Chahal,Punjab Kings,3.0,25,4,4-25,0,8.33
Bhuvneshwar Kumar,Gujarat Lions,4.0,29,4,4-29,0,7.25
Shane Watson,Gujarat Lions,4.0,29,4,4-29,0,7.25
Ravichandran Ashwin,Punjab Kings,4.0,34,4,4-34,0,8.50
Kane Richardson,Rising Pune Supergiant,3.0,13,3,3-13,0,4.33
