Bowler,MATCHES,OVERS,INNS,WKTS,Eco,Avg,SR
Adam Zampa,5,17.0,5,12,6.76,9.58,8.50
Mustafizur Rahman,16,61.0,16,17,6.90,24.76,21.53
Chris Morris,12,44.0,12,13,7.00,23.69,20.31
Sunil Narine,11,42.4,11,11,7.12,27.64,23.27
Ravichandran Ashwin,14,44.0,14,10,7.25,31.90,26.40
Sandeep Sharma,14,50.0,14,15,7.32,24.40,20.00
Sreenath Aravind,9,29.1,9,11,7.40,19.64,15.91
Bhuvneshwar Kumar,17,66.0,17,23,7.42,21.30,17.22
Dhawal Kulkarni,14,49.0,14,18,7.43,20.22,16.33
Amit Mishra,14,46.0,14,13,7.48,26.46,21.23
Ashok Dinda,9,30.3,9,11,7.57,21.00,16.64
Ashish Nehra,8,26.0,8,9,7.65,22.11,17.33
Tim Southee,11,43.0,11,9,7.65,36.56,28.67
Zaheer Khan,12,43.4,12,10,7.72,33.70,26.20
Piyush Chawla,12,35.2,11,11,7.73,24.82,19.27
