Batter,RUNS,Balls,SR,Vs,4s,6s
David Warner,126,59,213.56,Kolkata Knight Riders,10,8
Hashim Amla,104,60,173.33,Gujarat Lions,8,5
Hashim Amla,104,60,173.33,Mumbai Indians,8,6
Ben Stokes,103,63,163.49,Gujarat Lions,7,6
Sanju Samson,102,63,161.90,Rising Pune Supergiant,8,5
Rishabh Pant,97,43,225.58,Gujarat Lions,6,9
Shreyas Iyer,96,57,168.42,Gujarat Lions,15,2
Manan Vohra,95,50,190.00,Sunrisers Hyderabad,9,5
Chris Lynn,93,41,226.83,Gujarat Lions,6,8
Rahul Tripathi,93,52,178.85,Kolkata Knight Riders,9,7
Wriddhiman Saha,93,55,169.09,Mumbai Indians,11,3
AB de Villiers,89,46,193.48,Punjab Kings,3,9
Kane Williamson,89,51,174.51,Delhi Capitals,6,5
Robin Uthappa,87,47,185.11,Rising Pune Supergiant,7,6
Suresh Raina,84,46,182.61,Kolkata Knight Riders,9,4
