Batter,MATCHES,INNS,RUNS,6s
David Warner,14,14,641,26
Glenn Maxwell,14,13,310,26
Rishabh Pant,14,14,366,24
Kieron Pollard,17,16,385,22
Robin Uthappa,14,13,388,21
Hardik Pandya,17,16,250,20
Sanju Samson,14,14,386,19
Aaron Finch,13,13,299,19
Chris Lynn,7,7,295,19
Brendon McCullum,11,11,319,18
Hashim Amla,10,10,420,17
Rahul Tripathi,14,14,391,17
Nitish Rana,13,12,333,17
MS Dhoni,16,15,290,16
AB de Villiers,9,9,216,16
