Batter,MATCHES,INNS,RUNS,90s,50s,H.S
Robin Uthappa,14,13,388,0,5,87
David Warner,14,14,641,0,4,126
Gautam Gambhir,16,16,498,0,4,76
Virat Kohli,10,10,308,0,4,64
Shikhar Dhawan,14,14,479,0,3,77
Steven Smith,15,15,472,0,3,84
Suresh Raina,14,14,442,0,3,84
Kieron Pollard,17,16,385,0,3,70
Nitish Rana,13,12,333,0,3,62
Rohit Sharma,17,16,333,0,3,67
Chris Lynn,7,7,295,1,3,93
Moises Henriques,12,11,277,0,3,55
Hashim Amla,10,10,420,0,2,104
Manish Pandey,14,13,396,0,2,81
Parthiv Patel,16,16,395,0,2,70
