PLAYER,MATCHES,INNS,RUNS,AVG,SR,4s,6s
David Warner,14,14,641,58.27,141.81,63,26
Gautam Gambhir,16,16,498,41.50,128.02,61,7
Shikhar Dhawan,14,14,479,36.85,127.39,53,9
Steven Smith,15,15,472,39.33,121.96,38,12
Suresh Raina,14,14,442,40.18,143.97,42,13
Hashim Amla,10,10,420,60.00,145.83,40,17
Manish Pandey,14,13,396,49.50,128.57,27,12
Parthiv Patel,16,16,395,24.69,134.81,49,8
Rahul Tripathi,14,14,391,27.93,146.44,43,17
Robin Uthappa,14,13,388,29.85,165.11,36,21
Sanju Samson,14,14,386,27.57,141.39,32,19
Kieron Pollard,17,16,385,29.62,139.49,26,22
Ajinkya Rahane,16,16,382,25.47,118.27,35,9
Rishabh Pant,14,14,366,26.14,165.61,28,24
Dinesh Karthik,14,13,361,36.10,139.38,30,11
