Batter,MATCHES,INNS,RUNS,Avg,SR
Ben Cutting,4,3,51,25.50,196.15
Chris Lynn,7,7,295,49.17,180.98
Andrew Tye,6,3,53,26.50,176.67
Glenn Maxwell,14,13,310,31.00,173.18
Sunil Narine,16,14,224,17.23,172.31
Aaron Finch,13,13,299,24.92,166.11
Rishabh Pant,14,14,366,26.14,165.61
Robin Uthappa,14,13,388,29.85,165.11
Chris Morris,9,9,154,30.80,163.83
Daniel Christian,13,9,79,13.17,161.22
Hardik Pandya,17,16,250,35.71,156.25
Jos Buttler,10,10,272,27.20,153.67
Dwayne Smith,12,12,239,21.73,153.21
Kane Williamson,7,7,256,42.67,151.48
Martin Guptill,7,7,132,22.00,150.00
