Batter,MATCHES,INNS,RUNS,90s
Rahul Tripathi,14,14,391,1
Rishabh Pant,14,14,366,1
Shreyas Iyer,12,12,338,1
Chris Lynn,7,7,295,1
Wriddhiman Saha,14,11,234,1
Manan Vohra,11,9,229,1
