Batter,MATCHES,INNS,RUNS,Avg,NO
Hashim Amla,10,10,420,60.00,3
David Warner,14,14,641,58.27,3
Saurabh Tiwary,1,1,52,52.00,0
Vijay Shankar,4,4,101,50.50,2
Manish Pandey,14,13,396,49.50,5
Chris Lynn,7,7,295,49.17,1
Moises Henriques,12,11,277,46.17,5
Kane Williamson,7,7,256,42.67,1
Gautam Gambhir,16,16,498,41.50,4
Suresh Raina,14,14,442,40.18,3
Ravindra Jadeja,12,10,158,39.50,6
Steven Smith,15,15,472,39.33,3
Shikhar Dhawan,14,14,479,36.85,1
Dinesh Karthik,14,13,361,36.10,3
Hardik Pandya,17,16,250,35.71,9
