Batter,MATCHES,INNS,RUNS,4s
David Warner,14,14,641,63
Gautam Gambhir,16,16,498,61
Shikhar Dhawan,14,14,479,53
Parthiv Patel,16,16,395,49
Rahul Tripathi,14,14,391,43
Suresh Raina,14,14,442,42
Hashim Amla,10,10,420,40
Karun Nair,14,13,281,39
Steven Smith,15,15,472,38
Robin Uthappa,14,13,388,36
Shreyas Iyer,12,12,338,36
Shaun Marsh,9,8,264,36
Ajinkya Rahane,16,16,382,35
Sunil Narine,16,14,224,34
Sanju Samson,14,14,386,32
