Batter,RUNS,Balls,SR,Vs,4s,6s
Jonny Bairstow,114,56,203.57,Royal Challengers Bengaluru,12,7
Ajinkya Rahane,105,63,166.67,Delhi Capitals,11,3
Sanju Samson,102,55,185.45,Sunrisers Hyderabad,10,4
David Warner,100,55,181.82,Royal Challengers Bengaluru,5,5
Virat Kohli,100,58,172.41,Kolkata Knight Riders,9,4
KL Rahul,100,64,156.25,Mumbai Indians,6,6
Prithvi Shaw,99,55,180.00,Kolkata Knight Riders,12,3
Chris Gayle,99,64,154.69,Royal Challengers Bengaluru,10,5
Dinesh Karthik,97,50,194.00,Rajasthan Royals,7,9
Shikhar Dhawan,97,63,153.97,Kolkata Knight Riders,11,2
Shane Watson,96,53,181.13,Sunrisers Hyderabad,9,6
Faf du Plessis,96,55,174.55,Punjab Kings,10,4
Hardik Pandya,91,34,267.65,Kolkata Knight Riders,6,9
Jos Buttler,89,43,206.98,Mumbai Indians,8,7
Nitish Rana,85,46,184.78,Royal Challengers Bengaluru,9,5
