Batter,MATCHES,INNS,RUNS,H.S,100s
David Warner,12,12,692,100,1
KL Rahul,14,14,593,100,1
Virat Kohli,14,14,464,100,1
Jonny Bairstow,10,10,445,114,1
Ajinkya Rahane,14,13,393,105,1
Sanju Samson,12,12,342,102,1
