Batter,MATCHES,INNS,RUNS,6s
Andre Russell,14,13,510,52
Chris Gayle,13,13,490,34
Hardik Pandya,16,15,402,29
Rishabh Pant,16,16,488,27
AB de Villiers,13,13,442,26
KL Rahul,14,14,593,25
Quinton de Kock,16,16,529,25
MS Dhoni,15,12,416,23
Chris Lynn,13,13,405,22
Kieron Pollard,16,14,279,22
David Warner,12,12,692,21
Nitish Rana,14,11,344,21
Shane Watson,17,17,398,20
Jonny Bairstow,10,10,445,18
Moeen Ali,11,10,220,17
