Batter,MATCHES,INNS,RUNS,90s,50s,H.S
David Warner,12,12,692,0,8,100
KL Rahul,14,14,593,0,6,100
Shikhar Dhawan,16,16,521,1,5,97
AB de Villiers,13,13,442,0,5,82
Quinton de Kock,16,16,529,0,4,81
Andre Russell,14,13,510,0,4,80
Chris Gayle,13,13,490,1,4,99
Chris Lynn,13,13,405,0,4,82
Rishabh Pant,16,16,488,0,3,78
Shreyas Iyer,16,16,463,0,3,67
MS Dhoni,15,12,416,0,3,84
Shane Watson,17,17,398,1,3,96
Faf du Plessis,12,12,396,1,3,96
Suresh Raina,17,17,383,0,3,59
Manish Pandey,12,11,344,0,3,83
