Batter,MATCHES,INNS,RUNS,Avg,NO
MS Dhoni,15,12,416,83.20,7
David Warner,12,12,692,69.20,2
Andre Russell,14,13,510,56.67,4
Jonny Bairstow,10,10,445,55.62,2
KL Rahul,14,14,593,53.91,3
Marcus Stoinis,10,10,211,52.75,6
Sarfaraz Khan,8,5,180,45.00,1
Hardik Pandya,16,15,402,44.67,6
AB de Villiers,13,13,442,44.20,3
Manish Pandey,12,11,344,43.00,3
Mandeep Singh,13,12,165,41.25,8
Chris Gayle,13,13,490,40.83,1
Steven Smith,12,10,319,39.88,2
Jos Buttler,8,8,311,38.88,0
Rishabh Pant,16,16,488,37.54,3
