Batter,MATCHES,INNS,RUNS,90s
Shikhar Dhawan,16,16,521,1
Chris Gayle,13,13,490,1
Hardik Pandya,16,15,402,1
Shane Watson,17,17,398,1
Faf du Plessis,12,12,396,1
Prithvi Shaw,16,16,353,1
Dinesh Karthik,14,13,253,1
