Batter,MATCHES,INNS,RUNS,4s
Shikhar Dhawan,16,16,521,64
David Warner,12,12,692,57
Rohit Sharma,15,15,405,52
KL Rahul,14,14,593,49
Jonny Bairstow,10,10,445,48
Parthiv Patel,14,14,373,48
Virat Kohli,14,14,464,46
Quinton de Kock,16,16,529,45
Chris Gayle,13,13,490,45
Suryakumar Yadav,16,15,424,45
Ajinkya Rahane,14,13,393,45
Suresh Raina,17,17,383,45
Prithvi Shaw,16,16,353,45
Shane Watson,17,17,398,42
Shreyas Iyer,16,16,463,41
