Batter,MATCHES,INNS,RUNS,Avg,SR
Andre Russell,14,13,510,56.67,204.82
Hardik Pandya,16,15,402,44.67,191.43
Stuart Binny,8,5,70,23.33,175.00
Sam Curran,9,8,95,23.75,172.73
Jofra Archer,11,5,67,33.50,167.50
Sunil Narine,12,9,143,17.88,166.28
Moeen Ali,11,10,220,27.50,165.41
Rishabh Pant,16,16,488,37.54,162.67
Wriddhiman Saha,5,5,86,17.20,162.26
Jonny Bairstow,10,10,445,55.62,157.24
Nicholas Pooran,7,6,168,28.00,157.01
Kieron Pollard,16,14,279,34.88,156.74
AB de Villiers,13,13,442,44.20,154.01
Chris Gayle,13,13,490,40.83,153.61
Martin Guptill,3,3,81,27.00,152.83
