PLAYER,MATCHES,OVERS,BALLS,WKTS,Avg,RUNS,4-FERS,5-FERS
Dwayne Bravo,17,52.2,314,26,16.38,426,0,0
Lasith Malinga,15,60.0,360,24,18.50,444,1,0
Yuzvendra Chahal,15,46.5,281,23,18.04,415,0,0
Ashish Nehra,16,62.0,372,22,20.41,449,1,0
Mitchell Starc,13,43.0,258,20,14.55,291,1,0
Harbhajan Singh,15,57.0,342,18,24.78,446,0,0
Bhuvneshwar Kumar,14,51.4,310,18,22.61,407,0,0
Mitchell McClenaghan,12,47.0,282,18,21.44,386,0,0
Harshal Patel,15,43.5,263,17,19.29,328,0,0
David Wiese,14,42.2,254,16,22.06,353,1,0
Nathan Coulter-Nile,11,42.3,255,15,21.40,321,1,0
Imran Tahir,10,35.3,213,15,20.93,314,1,0
Anureet Singh,14,51.4,310,15,31.00,465,0,0
Andre Russell,13,40.4,244,14,23.14,324,0,0
Mohit Sharma,16,57.0,342,14,34.36,481,0,0
