Bowler,MATCHES,OVERS,INNS,WKTS,Eco,Avg,SR
Ravichandran Ashwin,14,39.0,13,10,5.85,22.80,23.40
Moises Henriques,9,25.0,9,11,6.32,14.36,13.64
Zaheer Khan,7,24.1,7,7,6.45,22.29,20.71
Mitchell Starc,13,43.0,12,20,6.77,14.55,12.90
Brad Hogg,6,21.0,6,9,6.86,16.00,14.00
Sandeep Sharma,14,50.0,14,13,7.00,26.92,23.08
Ishwar Pandey,10,31.0,10,11,7.19,20.27,16.91
Ashish Nehra,16,62.0,16,22,7.24,20.41,16.91
Sunil Narine,8,32.0,8,7,7.31,33.43,27.43
Sreenath Aravind,5,18.0,5,8,7.33,16.50,13.50
Morne Morkel,7,28.0,7,10,7.36,20.60,16.80
Lasith Malinga,15,60.0,15,24,7.40,18.50,15.00
Chris Morris,11,42.0,11,13,7.40,23.92,19.38
Jean-Paul Duminy,14,17.0,9,8,7.41,15.75,12.75
Harshal Patel,15,43.5,14,17,7.48,19.29,15.47
