Bowler,MATCHES,OVERS,WKTS,Avg
Moises Henriques,9,25.0,11,14.36
Mitchell Starc,13,43.0,20,14.55
Jean-Paul Duminy,14,17.0,8,15.75
Brad Hogg,6,21.0,9,16.00
Dwayne Bravo,17,52.2,26,16.38
Sreenath Aravind,5,18.0,8,16.50
Yuzvendra Chahal,15,46.5,23,18.04
Lasith Malinga,15,60.0,24,18.50
Harshal Patel,15,43.5,17,19.29
Ishwar Pandey,10,31.0,11,20.27
Ashish Nehra,16,62.0,22,20.41
Morne Morkel,7,28.0,10,20.60
Imran Tahir,10,35.3,15,20.93
Dhawal Kulkarni,11,35.0,13,21.31
Nathan Coulter-Nile,11,42.3,15,21.40
