Bowler,Vs,OVS,RUNS,WKTS,BBI,MAIDENS,ECON
Ashish Nehra,Royal Challengers Bengaluru,4.0,10,4,4-10,0,2.50
Ravindra Jadeja,Rajasthan Royals,4.0,11,4,4-11,0,2.75
Mitchell Starc,Punjab Kings,4.0,15,4,4-15,0,3.75
Jean-Paul Duminy,Sunrisers Hyderabad,3.0,17,4,4-17,0,5.67
Sunil Narine,Punjab Kings,4.0,19,4,4-19,0,4.75
Nathan Coulter-Nile,Punjab Kings,4.0,20,4,4-20,0,5.00
Chris Morris,Kolkata Knight Riders,4.0,23,4,4-23,0,5.75
Lasith Malinga,Sunrisers Hyderabad,4.0,23,4,4-23,1,5.75
Sandeep Sharma,Kolkata Knight Riders,4.0,25,4,4-25,1,6.25
Sreenath Aravind,Punjab Kings,4.0,27,4,4-27,0,6.75
Imran Tahir,Rajasthan Royals,4.0,28,4,4-28,0,7.00
Brad Hogg,Chennai Super Kings,4.0,29,4,4-29,0,7.25
Piyush Chawla,Delhi Capitals,4.0,32,4,4-32,0,8.00
David Wiese,Mumbai Indians,4.0,33,4,4-33,0,8.25
Moises Henriques,Punjab Kings,4.0,16,3,3-16,0,4.00
