Bowler,MATCHES,OVERS,WKTS,SR
Dwayne Bravo,17,52.2,26,12.08
Yuzvendra Chahal,15,46.5,23,12.22
Jean-Paul Duminy,14,17.0,8,12.75
Mitchell Starc,13,43.0,20,12.90
Sreenath Aravind,5,18.0,8,13.50
Moises Henriques,9,25.0,11,13.64
Brad Hogg,6,21.0,9,14.00
Imran Tahir,10,35.3,15,14.20
Lasith Malinga,15,60.0,24,15.00
Harshal Patel,15,43.5,17,15.47
Mitchell McClenaghan,12,47.0,18,15.67
David Wiese,14,42.2,16,15.88
Dhawal Kulkarni,11,35.0,13,16.15
Morne Morkel,7,28.0,10,16.80
Ashish Nehra,16,62.0,22,16.91
