PLAYER,MATCHES,OVERS,BALLS,WKTS,Avg,RUNS,4-FERS,5-FERS
Pragyan Ojha,16,58.5,353,21,20.43,429,0,0
Anil Kumble,16,63.2,380,17,23.94,407,1,0
Amit Mishra,14,53.0,318,17,21.35,363,0,0
Harbhajan Singh,15,53.3,321,17,22.18,377,0,0
Vinay Kumar,14,46.1,277,16,24.75,396,1,0
Muthiah Muralidaran,12,48.0,288,15,21.93,329,0,0
Dale Steyn,15,59.0,354,15,27.07,406,0,0
Lasith Malinga,13,49.0,294,15,22.93,344,1,0
Kieron Pollard,14,37.0,222,15,18.27,274,0,0
Zaheer Khan,14,48.2,290,15,25.07,376,0,0
Irfan Pathan,14,46.2,278,15,28.40,426,0,0
Ryan Harris,8,30.4,184,14,16.64,233,0,0
Ravichandran Ashwin,12,48.0,288,13,22.54,293,0,0
Shadab Jakati,11,38.0,228,13,22.38,291,0,0
Jacques Kallis,16,57.0,342,13,36.62,476,0,0
