Bowler,Vs,OVS,RUNS,WKTS,BBI,MAIDENS,ECON
Doug Bollinger,Deccan Chargers,4.0,13,4,4-13,1,3.25
Anil Kumble,Deccan Chargers,3.3,16,4,4-16,0,4.85
Angelo Mathews,Royal Challengers Bengaluru,4.0,19,4,4-19,0,4.75
Shane Warne,Deccan Chargers,4.0,21,4,4-21,0,5.25
Lasith Malinga,Punjab Kings,4.0,22,4,4-22,0,5.50
Vinay Kumar,Chennai Super Kings,4.0,40,4,4-40,0,10.00
Anil Kumble,Rajasthan Royals,3.5,9,3,3-9,0,2.57
Lasith Malinga,Deccan Chargers,3.4,12,3,3-12,0,3.53
Justin Kemp,Kolkata Knight Riders,3.0,12,3,3-12,0,4.00
Ravichandran Ashwin,Kolkata Knight Riders,4.0,16,3,3-16,0,4.00
Muthiah Muralidaran,Punjab Kings,4.0,16,3,3-16,0,4.00
Siddharth Trivedi,Deccan Chargers,2.5,16,3,3-16,0,6.40
Kieron Pollard,Royal Challengers Bengaluru,4.0,17,3,3-17,0,4.25
RP Singh,Rajasthan Royals,4.0,17,3,3-17,0,4.25
Ryan Harris,Chennai Super Kings,4.0,18,3,3-18,0,4.50
