Bowler,MATCHES,OVERS,WKTS,SR
Ryan Harris,8,30.4,14,13.14
Jaskaran Singh,6,14.0,6,14.00
Ashish Nehra,4,14.0,6,14.00
Chaminda Vaas,6,22.0,9,14.67
Kieron Pollard,14,37.0,15,14.80
Ashok Dinda,7,23.1,9,15.44
Doug Bollinger,8,31.0,12,15.50
Dilhara Fernando,5,19.0,7,16.29
Pragyan Ojha,16,58.5,21,16.81
Vinay Kumar,14,46.1,16,17.31
Shadab Jakati,11,38.0,13,17.54
Farveez Maharoof,7,24.0,8,18.00
Harmeet Singh Bansal,8,24.0,8,18.00
Irfan Pathan,14,46.2,15,18.53
Shaun Tait,8,31.1,10,18.70
