Bowler,MATCHES,OVERS,INNS,WKTS,Eco,Avg,SR
Ravichandran Ashwin,12,48.0,12,13,6.10,22.54,22.15
Chaminda Vaas,6,22.0,6,9,6.32,15.44,14.67
Anil Kumble,16,63.2,16,17,6.43,23.94,22.35
Murali Kartik,10,39.0,10,9,6.49,28.11,26.00
Ashok Dinda,7,23.1,7,9,6.56,16.89,15.44
Dirk Nannes,9,34.1,9,7,6.56,32.00,29.29
Doug Bollinger,8,31.0,8,12,6.68,17.25,15.50
Amit Mishra,14,53.0,14,17,6.85,21.35,18.71
Muthiah Muralidaran,12,48.0,12,15,6.85,21.93,19.20
Ashish Nehra,4,14.0,4,6,6.86,16.00,14.00
Dale Steyn,15,59.0,15,15,6.88,27.07,23.60
Lasith Malinga,13,49.0,13,15,7.02,22.93,19.60
Andrew Symonds,16,53.0,16,12,7.02,31.00,26.50
Harbhajan Singh,15,53.3,14,17,7.05,22.18,18.88
Shane Bond,8,31.0,8,9,7.23,24.89,20.67
