Bowler,MATCHES,OVERS,WKTS,Avg
Chaminda Vaas,6,22.0,9,15.44
Ashish Nehra,4,14.0,6,16.00
Ryan Harris,8,30.4,14,16.64
Ashok Dinda,7,23.1,9,16.89
Doug Bollinger,8,31.0,12,17.25
Kieron Pollard,14,37.0,15,18.27
Dilhara Fernando,5,19.0,7,19.71
Pragyan Ojha,16,58.5,21,20.43
Amit Mishra,14,53.0,17,21.35
Harmeet Singh Bansal,8,24.0,8,21.75
Muthiah Muralidaran,12,48.0,15,21.93
Harbhajan Singh,15,53.3,17,22.18
Shadab Jakati,11,38.0,13,22.38
Ravichandran Ashwin,12,48.0,13,22.54
Lasith Malinga,13,49.0,15,22.93
