Bowler,MATCHES,OVERS,WKTS,Avg
Amit Singh,5,17.3,9,10.56
Rajat Bhatia,8,21.4,10,14.60
Rohit Sharma,16,23.0,11,14.64
Munaf Patel,11,34.5,16,15.06
Anil Kumble,16,59.1,21,16.52
Shadab Jakati,9,29.0,13,16.69
Yusuf Abdulla,9,28.0,14,17.21
Lasith Malinga,13,49.3,18,17.33
RP Singh,16,59.4,23,18.13
Ashish Nehra,13,51.0,19,18.21
Muthiah Muralidaran,13,50.0,14,18.64
Pragyan Ojha,15,53.3,18,19.33
Kamran Khan,5,17.4,6,20.67
Amit Mishra,11,42.0,14,21.00
Harbhajan Singh,13,44.0,12,21.33
