Bowler,MATCHES,OVERS,INNS,WKTS,Eco,Avg,SR
Muthiah Muralidaran,13,50.0,13,14,5.22,18.64,21.43
Amit Singh,5,17.3,5,9,5.43,10.56,11.67
Harbhajan Singh,13,44.0,13,12,5.82,21.33,22.00
Anil Kumble,16,59.1,16,21,5.86,16.52,16.90
Suresh Raina,14,27.4,10,7,5.93,23.43,23.71
Lasith Malinga,13,49.3,13,18,6.30,17.33,16.50
Ravindra Jadeja,13,23.2,10,6,6.47,25.17,23.33
Pragyan Ojha,15,53.3,15,18,6.50,19.33,17.83
Andrew Symonds,8,24.0,8,7,6.67,22.86,20.57
Rajat Bhatia,8,21.4,7,10,6.74,14.60,13.00
Zaheer Khan,6,21.0,6,6,6.76,23.67,21.00
Ashish Nehra,13,51.0,13,19,6.78,18.21,16.11
Dimitri Mascarenhas,5,19.2,5,6,6.83,22.00,19.33
Piyush Chawla,14,44.5,14,12,6.87,25.67,22.42
Ishant Sharma,11,43.0,11,11,6.91,27.00,23.45
