PLAYER,MATCHES,OVERS,BALLS,WKTS,Avg,RUNS,4-FERS,5-FERS
RP Singh,16,59.4,358,23,18.13,417,1,0
Anil Kumble,16,59.1,355,21,16.52,347,1,1
Ashish Nehra,13,51.0,306,19,18.21,346,0,0
Lasith Malinga,13,49.3,297,18,17.33,312,0,0
Pragyan Ojha,15,53.3,321,18,19.33,348,0,0
Irfan Pathan,14,50.2,302,17,22.94,390,0,0
Munaf Patel,11,34.5,209,16,15.06,241,0,0
Dirk Nannes,13,49.3,297,15,24.80,372,0,0
Pradeep Sangwan,13,46.4,280,15,24.00,360,0,0
Muthiah Muralidaran,13,50.0,300,14,18.64,261,0,0
Amit Mishra,11,42.0,252,14,21.00,294,0,0
Shane Warne,13,50.0,300,14,26.07,365,0,0
Yusuf Abdulla,9,28.0,168,14,17.21,241,2,0
Shadab Jakati,9,29.0,174,13,16.69,217,2,0
Praveen Kumar,13,49.4,298,13,30.31,394,0,0
